Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
HS00002,PREPARATORY ENGLISH,"Bornini Lahiri,H S Komalesha,Jayashree Chakraborty",4-1-0,5,--,
HS13001,ENGLISH FOR COMMUNICATION,"Anjali Roy,Anway Mukhopadhyay,Bornini Lahiri,Priyadarshi Patnaik,Saswat Samay Das",3-0-2,4,--,
HS20001,ECONOMICS,"Bimal Kishore Sahoo,Kishor Goswami,Narayan Chandra Nayak",3-1-0,4,D4,"NR322,NR323,NR324"
HS20002,GENERAL PSYCHOLOGY,Rishabh Rai,3-1-0,4,D4,NC441
HS20006,MICRO ECONOMICS-II,Anwesha Aditya,3-1-0,4,U4,LANGUAGE LAB (Department of HSS)
HS20008,MACRO ECONOMICS-II,Narayan Chandra Nayak,3-1-0,4,V4,LANGUAGE LAB (Department of HSS)
HS20009,DEVELOPMENT ECONOMICS,Kishor Goswami,3-1-0,4,E4,LANGUAGE LAB (Department of HSS)
HS20014,ECONOMICS OF SUSTIANABLE DEVELOPMENT,Bhagirath Behera,3-0-0,3,B3,LANGUAGE LAB (Department of HSS)
HS20016,ENVIRONMENTAL HUMANITIES,Jenia Mukherjee,3-0-0,3,S3,NC232
HS20018,SANSKRIT AND HERITAGE,Anuradha Choudry,3-0-0,3,B3,NC243
HS30001,INTRODUCTION TO SOCIOLOGY,Archana Patnaik,3-0-0,3,S3,NC132
HS30002,COMPARATIVE DEVELOPMENT PERSPECTIVE,Bhagirath Behera,3-1-0,4,C4,LANGUAGE LAB (Department of HSS)
HS30040,"INDIAN SOCIETY, LITERATURE AND CULTURE",H S Komalesha,3-0-0,3,D3,LANGUAGE LAB
HS30047,FRENCH,Anuradha Choudry,3-0-0,3,S3,NC233
HS30048,GERMAN,Vijai Nath Giri,3-0-0,3,D3,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS30051,INTRODUCTION TO CULTURAL STUDIES,Somdatta Bhattacharya,3-0-0,3,D3,NC344
HS30054,SOCIOLOGY OF RESOURCE MANAGEMENT,Archana Patnaik,3-0-0,3,D3,NR423
HS30057,SOCIOLOGY OF ECONOMICS DEVELOPMENT,Amrita Sen,3-0-0,3,S3,NC243
HS30070,INTRODUCTION TO ETHICS,Chhanda Chakraborti,3-0-0,3,D3,NC142
HS30074,SCIENCE AND HUMANISM,Jenia Mukherjee,3-0-0,3,B3,NR324
HS30096,MARKET MICRO STRUCTURE,Gourishankar S Hiremath,3-0-0,3,B3,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS31082,MONETARY ECONOMICS,Siddhartha Chattopadhyay,3-1-0,4,F4,NC142
HS38002,SEMINAR,Gourishankar S Hiremath,0-0-3,2,--,
HS40078,INTERNATIONAL TRADE,Anwesha Aditya,3-1-0,4,C4,NC442
HS40085,LABOUR ECONOMICS,Bimal Kishore Sahoo,3-0-0,3,S3,LANGUAGE LAB - I (JCB LAB COMPLEX)
HS41002,ECONOMETRIC ANALYSIS I,Pulak Mishra,3-1-0,4,D4,NC243
HS41004,BANKING THEORY AND PRACTICE,Jitendra Mahakud,3-1-0,4,F4,LANGUAGE LAB (Department of HSS)
HS49002,ECONOMETRIC ANALYSIS I LAB.,Pulak Mishra,0-0-2,1,J,PC_Lab-IV
HS50012,ENERGY ECONOMICS,Mantu Kumar Mahalik,3-0-0,3,U3,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS50017,EQUITY RESEARCH,Gourishankar S Hiremath,3-0-0,3,H3,LANGUAGE LAB (Department of HSS)
HS50018,FIXED INCOME SECURITIES,Inder Sekhar Yadav,3-0-0,3,A3,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS50019,ECONOMIC MODELLING,Sunandan Ghosh,3-0-0,3,A3,"0, LANGUAGE LAB (Department of HSS)"
HS50026,BEHAVIOURAL FINANCE,Jitendra Mahakud,3-0-0,3,G3,LANGUAGE LAB (Department of HSS)
HS50030,GENERAL EQUILIBRIUM AND WELFARE ECONOMICS,Sunandan Ghosh,3-1-0,4,"S3, H3",LANGUAGE LAB - III (JCB LAB COMPLEX)
HS51001,FIXED INCOME SECURITIES AND INTEREST RATE DERIVATIVES,Inder Sekhar Yadav,3-0-0,3,A3,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS51637,SOCIETY SCIENCE AND TECHNOLOGY,Amrita Sen,3-0-0,3,D3,NC442
HS57004,PROJECT & PROJECT SEMINAR,"Mantu Kumar Mahalik,Sunandan Ghosh",0-0-0,10,--,
HS58001,COMPREHENSIVE VIVA VOCE,Inder Sekhar Yadav,0-0-0,2,--,
HS59001,APPLIED ECONOMETRICS LABORATORY,Mantu Kumar Mahalik,0-0-3,2,P,0
HS60002,MANPOWER ECONOMICS,Inder Sekhar Yadav,3-1-0,4,V4,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS60008,HUMAN RESOURCE SYSTEMS,Kailash Bihari Lal Srivastava,3-0-0,3,B3,PSYCHOLOGY LAB
HS60010,INDUSTRIAL RELATIONS,Mukkamala Kameshwar Rao,3-0-0,3,A3,PSYCHOLOGY LAB
HS60012,RESEARCH METHODOLOGY,Damodar Suar,3-1-0,4,F4,NR321
HS60014,EMOTIONAL INTELLIGENCE AT WORK,Rabindra Kumar Pradhan,2-0-0,2,E2,PSYCHOLOGY LAB
HS60016,PERFORMANCE MANAGEMENT,Rishabh Rai,2-0-0,2,C2,PSYCHOLOGY LAB
HS60020,MATHEMATICAL ECONOMICS,Siddhartha Chattopadhyay,3-0-0,3,S3,LANGUAGE LAB (Department of HSS)
HS60022,INTERNATIONAL HRM,Rabindra Kumar Pradhan,3-0-0,3,D3,PSYCHOLOGY LAB
HS60024,LEADERSHIP,Mukkamala Kameshwar Rao,2-0-0,2,I2,PSYCHOLOGY LAB
HS60042,INTRODUCTION TO GROSS NATIONAL HAPPINESS (GNH),"Anuradha Choudry,Priyadarshi Patnaik,Saamdu Chetri",3-0-0,3,V3,"NC242,NC242,NC242"
HS60044,HISTORY OF SCIENCE AND TECHNOLOGY IN ANCIENT INDIA,"Anindya Sarkar,Anuradha Choudry,Jenia Mukherjee,Joy Sen,Jyotirmoy Chatterjee,Partha Pratim Chakrabarti,Prasanta Kumar Das,Pratim Kumar Chattaraj,Pulak Mishra,Santanu Dhara,Somesh Kumar,Sriman Kumar Bhattacharyya,Venkappayya R Desai,Vijai Nath Giri",3-0-0,3,S3,"NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234,NC234"
HS60065,MANAGEMENT OF CHANGE,Kailash Bihari Lal Srivastava,2-0-0,2,U2,ECONOMICS LAB
HS60066,BUSINESS SOCIETY AND ETHICS,Chhanda Chakraborti,3-1-0,4,F4,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS60070,HUMAN RESOURCE INFORMATION SYSTEM,Kailash Bihari Lal Srivastava,2-0-0,2,I2,LANGUAGE LAB (Department of HSS)
HS60072,KNOWLEDGE MANAGEMENT,Rishabh Rai,2-0-0,2,V2,PSYCHOLOGY LAB
HS60074,STRATEGIC HRM,Mukkamala Kameshwar Rao,2-0-0,2,H2,PSYCHOLOGY LAB
HS60076,COMPENSATION MANAGEMENT,Damodar Suar,2-0-0,2,U2,PSYCHOLOGY LAB
HS60080,INTERPERSONAL COMMUNICATION,Vijai Nath Giri,2-0-3,4,C4,LANGUAGE LAB - III (JCB LAB COMPLEX)
HS62002,SCIENCE OF HAPPINESS AND WELL-BEING,"Manas Kumar Mandal,Priyadarshi Patnaik,Sangeeta Das Bhattacharya,Vijai Nath Giri",2-0-2,3,U4,"NC234,NC234,NC234,NC234"
HS63002,ENGLISH FOR TECHNICAL WRITING,"Anway Mukhopadhyay,Jayashree Chakraborty",2-2-0,4,U4,"V2,V3,V2,V3"
HS67202,PROJECT,Rabindra Kumar Pradhan,0-0-5,5,--,
HS68004,COMPREHENSIVE VIVA VOCE,Rabindra Kumar Pradhan,0-0-0,2,--,
HS70001,HISTORY OF AMERICAN LITERATURE,Seema Singh,0-4-0,4,--,
HS70002,HISTORY OF THOUGHT,Saswat Samay Das,0-4-0,4,--,
HS70005,POST-COLONIAL TEXTS AND THEORY,Saswat Samay Das,3-1-0,4,--,
HS70007,LITERATURES IN ENGLISH,Somdatta Bhattacharya,3-1-0,4,--,
